# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_est lean_rate_est steer steer_est steer_rate_est v v_c
20 -0.000578188 0 0 0.000628319 0 0 0 0
20.02 -0.00134926 0 0 0.000628319 0 0 0 0
20.04 -0.00134447 0 0 0.000628319 0 0 0 0
20.06 -0.000537976 0 0 0.000628319 0 0 0 0
20.08 0.00975753 0 0 0.000628319 0 0 0 0
20.1 0.00399724 0 0 0.000628319 0 0 0 0
20.12 0.00529415 0 0 0.000628319 0 0 0 0
20.14 0.00782726 0 0 0.000628319 0 0 0 0
20.16 0.00186905 0 0 0.000628319 0 0 0 0
20.18 0.00711817 0 0 0.000628319 0 0 0 0
20.2 0.00564286 0 0 0.000628319 0 0 0 0
20.22 0.00444571 0 0 0.000628319 0 0 0 0
20.24 0.004844 0 0 0.000628319 0 0 0 0
20.26 0.00814051 0 0 0.000628319 0 0 0 0
20.28 0.00384219 0 0 0.000628319 0 0 0 0
20.3 0.00433223 0 0 0.000628319 0 0 0 0
20.32 0.00607141 0 0 0.000628319 0 0 0 0
20.34 0.00679076 0 0 0.000628319 0 0 0 0
20.36 0.00838999 0 0 0.000628319 0 0 0 0
20.38 0.00535097 0 0 0.000628319 0 0 0 0
20.4 0.00677945 0 0 0.000628319 0 0 0 0
20.42 0.00786265 0 0 0.000628319 0 0 0 0
20.44 0.00649725 0 0 0.000628319 0 0 0 0
20.46 0.00714709 0 0 0.000628319 0 0 0 0
20.48 0.00330393 0 0 0.000628319 0 0 0 0
20.5 0.00623159 0 0 0.000628319 0 0 0 0
20.52 0.00162881 0 0 0.000628319 0 0 0 0
20.54 0.00336855 0 0 0.000628319 0 0 0 0
20.56 0.0014372 0 0 0.000628319 0 0 0 0
20.58 0.00033371 0 0 0.000628319 0 0 0 0
20.6 0.00061629 0 0 0.000628319 0 0 0 0
20.62 0.00153308 0 0 0.000628319 0 0 0 0
20.64 -0.00173606 0 0 0.000628319 0 0 0 0
20.66 -0.000560181 0 0 0.000628319 0 0 0 0
20.68 -0.00221946 0 0 0.000628319 0 0 0 0
20.7 -0.00837139 0 0 0.000628319 0 0 0 0
20.72 -0.00371794 0 0 0.000628319 0 0 0 0
20.74 -0.00507939 0 0 0.000628319 0 0 0 0
20.76 -0.00621347 0 0 0.000628319 0 0 0 0
20.78 -0.00561802 0 0 0.000628319 0 0 0 0
20.8 -0.00562838 0 0 0.000628319 0 0 0 0
20.82 -0.00935146 0 0 0.000628319 0 0 0 0
20.84 -0.00228147 0 0 0.000628319 0 0 0 0
20.86 -0.0105534 0 0 0.000628319 0 0 0 0
20.88 -0.00921373 0 0 0.000628319 0 0 0 2
